stars_earned,location,spent,date
9.9,Yonge & Lawrence,$5.59,2017-06-22
14.8,Victoria Park & Consumers Rd.,$8.36,2017-06-21
8.3,Victoria Park & Consumers Rd.,$4.69,2017-06-20
8.9,2293 Yonge Street,$5.03,2017-06-19
9.9,Victoria Park & Consumers Rd.,$5.59,2017-06-19
11.5,Yonge & Lawrence,$6.50,2017-06-18
7.9,3250-52 Yonge,$4.15,2017-06-17
5.9,1740-42 Avenue Rd.,$3.10,2017-06-17
7.9,Yonge & Lawrence,$4.15,2017-06-16
9.9,Yonge & Lawrence,$5.59,2017-06-16
9.9,Yonge & Lawrence,$5.59,2017-06-15
9.9,Yonge & Lawrence,$5.59,2017-06-14
9.9,York Mills Centre,$5.59,2017-06-13
15.4,Victoria Park & Consumers Rd.,$8.70,2017-06-13
16.6,Yonge & Lawrence,$4.69,2017-06-12
19.8,Victoria Park & Consumers Rd.,$5.59,2017-06-12
7.9,Yonge & Lawrence,$4.15,2017-06-11
7.9,Yonge & Lawrence,$4.15,2017-06-10
9.9,Victoria Park & Consumers Rd.,$5.59,2017-06-09
15.9,Victoria Park & Consumers Rd.,$8.98,2017-06-08
9.9,Yonge & Lawrence,$5.59,2017-06-07
9.9,Yonge & Lawrence,$5.59,2017-06-06
18.2,1101 Rutherford Rd,$10.28,2017-06-05
9.9,Victoria Park & Consumers Rd.,$5.59,2017-06-05
9.9,Yonge & Lawrence,$5.59,2017-06-04
9.9,Victoria Park & Consumers Rd.,$5.59,2017-05-31
9.9,Yonge & Lawrence,$5.59,2017-05-30
9.9,Victoria Park & Consumers Rd.,$5.59,2017-05-29
7.9,Yonge & Lawrence,$4.15,2017-05-28
8.3,Yonge & Lawrence,$4.69,2017-05-27
11.9,Victoria Park & Consumers Rd.,$6.72,2017-05-26
14.6,Yonge & Lawrence,$3.83,2017-05-24
19.8,Victoria Park & Consumers Rd.,$5.59,2017-05-24
9.9,Victoria Park & Consumers Rd.,$5.59,2017-05-23
14.4,Yonge & Lawrence,$8.14,2017-05-22
9.9,Yonge & Lawrence,$5.59,2017-05-21
8.3,Yonge & Lawrence,$4.69,2017-05-20
8.5,Yonge & Lawrence,$4.80,2017-05-20
9.9,Yonge & Lawrence,$5.59,2017-05-19
9.9,Victoria Park & Consumers Rd.,$5.59,2017-05-19
7.3,Yonge & Lawrence,$3.83,2017-05-18
7.9,Yonge & Lawrence,$4.15,2017-05-18
9.9,Yonge & Lawrence,$5.59,2017-05-17
9.9,Yonge & Lawrence,$5.59,2017-05-16
17.8,Victoria Park & Consumers Rd.,$10.06,2017-05-15
18.2,1101 Rutherford Rd,$10.28,2017-05-13
